"strain"	"isolate"	"genbank_title"	"length"	"country"	"host"	"date"
"OL898679.1"	"NS9638"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9638/2021, complete genome"	11682	"Brazil"	"Homo sapiens"	2021-04-13
"OL898680.1"	"NS9285"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9285/2021, complete genome"	11726	"Brazil"	"Homo sapiens"	2021-03-22
"OL898681.1"	45801	"Chikungunya virus strain CHKV_Brazil/SP/IAL/45801/2021, complete genome"	11729	"Brazil"	"Homo sapiens"	2021-02-20
"OL898682.1"	"NS8490"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8490/2021, complete genome"	11721	"Brazil"	"Homo sapiens"	2021-07-01
"OL898683.1"	"NS8699"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8699/2021, complete genome"	11819	"Brazil"	"Homo sapiens"	2021-01-31
"OL898684.1"	"NS8889"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8889/2021, complete genome"	11784	"Brazil"	"Homo sapiens"	2021-02-14
"OL898685.1"	"NS9066"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9066/2021, complete genome"	11784	"Brazil"	"Homo sapiens"	2021-02-22
"OL898686.1"	"NS9454R"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9454R/2021, complete genome"	11682	"Brazil"	"Homo sapiens"	2021-03-25
"OL898687.1"	"NS9654"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9654/2021, complete genome"	11741	"Brazil"	"Homo sapiens"	2021-04-16
"OL898688.1"	46186	"Chikungunya virus strain CHKV_Brazil/SP/IAL/46186/2021, complete genome"	11744	"Brazil"	"Homo sapiens"	2021-03-23
"OL898689.1"	"NS8526"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8526/2021, complete genome"	11790	"Brazil"	"Homo sapiens"	2021-01-15
"OL898690.1"	"NS8780"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8780/2021, complete genome"	11689	"Brazil"	"Homo sapiens"	2021-01-16
"OL898691.1"	"NS8892"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8892/2021, complete genome"	11675	"Brazil"	"Homo sapiens"	2021-02-21
"OL898692.1"	"NS9068"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9068/2021, complete genome"	11647	"Brazil"	"Homo sapiens"	2021-09-03
"OL898693.1"	"NS8792"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8792/2021, complete genome"	11682	"Brazil"	"Homo sapiens"	2021-02-13
"OL898694.1"	"NS9915"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9915/2021, complete genome"	11772	"Brazil"	"Homo sapiens"	2021-11-05
"OL898695.1"	46454	"Chikungunya virus strain CHKV_Brazil/SP/IAL/46454/2021, complete genome"	11782	"Brazil"	"Homo sapiens"	2021-04-04
"OL898696.1"	"NS8639"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8639/2021, complete genome"	11722	"Brazil"	"Homo sapiens"	2021-01-28
"OL898697.1"	"NS8781"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8781/2021, complete genome"	11826	"Brazil"	"Homo sapiens"	2021-09-02
"OL898698.1"	"NS8895"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8895/2021, complete genome"	11675	"Brazil"	"Homo sapiens"	2021-02-25
"OL898699.1"	"NS9079"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9079/2021, complete genome"	11679	"Brazil"	"Homo sapiens"	2021-09-02
"OL898700.1"	"NS8650"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8650/2021, complete genome"	11682	"Brazil"	"Homo sapiens"	2021-01-28
"OL898701.1"	"NS10068"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS10068/2021, complete genome"	11759	"Brazil"	"Homo sapiens"	2021-05-05
"OL898702.1"	46585	"Chikungunya virus strain CHKV_Brazil/SP/IAL/46585/2021, complete genome"	11813	"Brazil"	"Homo sapiens"	2021-04-27
"OL898703.1"	"NS9460"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9460/2021, complete genome"	11682	"Brazil"	"Homo sapiens"	2021-06-04
"OL898704.1"	"NS8687"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8687/2021, complete genome"	11755	"Brazil"	"Homo sapiens"	2021-01-28
"OL898705.1"	"NS8796"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8796/2021, complete genome"	11793	"Brazil"	"Homo sapiens"	2021-02-13
"OL898706.1"	"NS9085"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9085/2021, complete genome"	11823	"Brazil"	"Homo sapiens"	2021-09-02
"OL898707.1"	"NS8472"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8472/2021, complete genome"	11682	"Brazil"	"Homo sapiens"	2021-07-01
"OL898708.1"	"NS10096"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS10096/2021, complete genome"	11675	"Brazil"	"Homo sapiens"	2021-05-05
"OL898709.1"	46633	"Chikungunya virus strain CHKV_Brazil/SP/IAL/46633/2021, complete genome"	11734	"Brazil"	"Homo sapiens"	2021-12-05
"OL898710.1"	"NS8690"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8690/2021, complete genome"	11782	"Brazil"	"Homo sapiens"	2021-02-02
"OL898711.1"	"NS8798"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS8798/2021, complete genome"	11767	"Brazil"	"Homo sapiens"	2021-08-02
"OL898712.1"	"NS9092"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9092/2021, complete genome"	11727	"Brazil"	"Homo sapiens"	2021-02-18
"OL898713.1"	"NS9672"	"Chikungunya virus strain CHKV_Brazil/SP/IAL/NS9672/2021, complete genome"	11669	"Brazil"	"Homo sapiens"	2021-04-29
"OL898714.1"	45326	"Chikungunya virus strain CHKV_Brazil/SP/IAL/45326/2021, complete genome"	11794	"Brazil"	"Homo sapiens"	2020-11-20
"OL898715.1"	46894	"Chikungunya virus strain CHKV_Brazil/SP/IAL/46894/2021, complete genome"	11675	"Brazil"	"Homo sapiens"	2021-06-05
"LC664141.1"	"MLD19-01"	"Chikungunya virus MLD19-01 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-03-30
"LC664142.1"	"MLD19-06"	"Chikungunya virus MLD19-06 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-03-31
"LC664143.1"	"MLD19-09"	"Chikungunya virus MLD19-09 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-03-30
"LC664144.1"	"MLD19-20"	"Chikungunya virus MLD19-20 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-04-24
"LC664145.1"	"MLD19-22"	"Chikungunya virus MLD19-22 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-01-04
"LC664146.1"	"MLD19-27"	"Chikungunya virus MLD19-27 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-03-04
"LC664147.1"	"MLD19-37"	"Chikungunya virus MLD19-37 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-07-04
"LC664148.1"	"MLD19-39"	"Chikungunya virus MLD19-39 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-04-04
"LC664149.1"	"MLD19-40"	"Chikungunya virus MLD19-40 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-04-01
"LC664150.1"	"MLD19-47"	"Chikungunya virus MLD19-47 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-10-04
"LC664151.1"	"MLD19-53"	"Chikungunya virus MLD19-53 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-04-14
"LC664152.1"	"MLD19-68"	"Chikungunya virus MLD19-68 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-05-19
"LC664153.1"	"MLD19-70"	"Chikungunya virus MLD19-70 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-05-01
"LC664154.1"	"MLD19-71"	"Chikungunya virus MLD19-71 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-05-01
"LC664155.1"	"MLD19-72"	"Chikungunya virus MLD19-72 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-06-18
"LC664156.1"	"MLD19-77"	"Chikungunya virus MLD19-77 RNA, complete genome"	11237	"Maldives"	"Homo sapiens"	2019-02-08
"LC664157.1"	"BHTD20-WM05"	"Chikungunya virus BHTD20-WM05 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-06-29
"LC664158.1"	"BHTD20-WM14"	"Chikungunya virus BHTD20-WM14 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-07-21
"LC664159.1"	"BHTD20-WM19"	"Chikungunya virus BHTD20-WM19 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-04-08
"LC664160.1"	"BHTD20-WM27"	"Chikungunya virus BHTD20-WM27 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-08-19
"LC664161.1"	"BHTD20-WM29"	"Chikungunya virus BHTD20-WM29 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-08-20
"LC664162.1"	"BHTD20-WM34"	"Chikungunya virus BHTD20-WM34 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-08-26
"LC664163.1"	"BHTD20-WM37"	"Chikungunya virus BHTD20-WM37 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-08-28
"LC664164.1"	"BHTD20-WM40"	"Chikungunya virus BHTD20-WM40 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-08-09
"LC664165.1"	"BHTD20-WM44"	"Chikungunya virus BHTD20-WM44 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-09-13
"LC664166.1"	"BHTD20-WM48"	"Chikungunya virus BHTD20-WM48 RNA, complete genome"	11237	"Thailand"	"Homo sapiens"	2020-09-25
"OL705486.1"	"109-0320_L001"	"Chikungunya virus isolate 109-0320_L001, complete genome"	11799	"Cambodia"	"Homo sapiens"	2020-07-15
"OL741630.1"	"109-0326_L001"	"Chikungunya virus isolate 109-0326_L001, complete genome"	11802	"Cambodia"	"Homo sapiens"	2020-07-23
"OL849990.1"	"109-0406_L001"	"Chikungunya virus isolate 109-0406_L001, complete genome"	11606	"Cambodia"	"Homo sapiens"	2020-09-22
"OL849991.1"	"109-0412_L001"	"Chikungunya virus isolate 109-0412_L001, complete genome"	11606	"Cambodia"	"Homo sapiens"	2020-09-28
"OL893105.1"	"109-0422_L001"	"Chikungunya virus isolate 109-0422_L001, complete genome"	11780	"Cambodia"	"Homo sapiens"	2020-06-10
"OL893106.1"	"109-0428_L001"	"Chikungunya virus isolate 109-0428_L001, complete genome"	11803	"Cambodia"	"Homo sapiens"	2020-09-10
"OL893107.1"	"109-0438_L001"	"Chikungunya virus isolate 109-0438_L001, complete genome"	11778	"Cambodia"	"Homo sapiens"	2020-10-14
"OL979153.1"	"109-0507Sera_L1"	"Chikungunya virus isolate 109-0507Sera_L1, complete genome"	11803	"Cambodia"	"Homo sapiens"	2020-12-24
"OL979154.1"	"109-0482S_L1_1"	"Chikungunya virus isolate 109-0482S_L1_1, complete genome"	11767	"Cambodia"	"Homo sapiens"	2020-07-12
"OL979155.1"	"109-0460S_L1_1"	"Chikungunya virus isolate 109-0460S_L1_1, complete genome"	11803	"Cambodia"	"Homo sapiens"	2020-11-18
"OL979156.1"	"109-0456_L001"	"Chikungunya virus isolate 109-0456_L001, complete genome"	11773	"Cambodia"	"Homo sapiens"	2020-11-16
"OL979157.1"	"109-0449merged"	"Chikungunya virus isolate 109-0449merged, complete genome"	11779	"Cambodia"	"Homo sapiens"	2020-02-11
"OL999091.1"	"109-0510Sera_L1"	"Chikungunya virus isolate 109-0510Sera_L1, complete genome"	11769	"Cambodia"	"Homo sapiens"	2020-12-25
"OL999092.1"	"109-0575Sera_L1"	"Chikungunya virus isolate 109-0575Sera_L1, complete genome"	11606	"Cambodia"	"Homo sapiens"	2021-12-02
"OL999093.1"	"109-0588S_L1_1"	"Chikungunya virus isolate 109-0588S_L1_1, complete genome"	11805	"Cambodia"	"Homo sapiens"	2021-02-24
"OL999094.1"	"109-0608S_L1_1"	"Chikungunya virus isolate 109-0608S_L1_1, complete genome"	11606	"Cambodia"	"Homo sapiens"	2021-05-03
"OL999095.1"	"109-0685S_L1"	"Chikungunya virus isolate 109-0685S_L1, complete genome"	11785	"Cambodia"	"Homo sapiens"	2021-05-24
"OK655883.1"	"CHIKV/IDN_Jambi_112/2016"	"Chikungunya virus isolate CHIKV/IDN_Jambi_112/2016, partial genome"	11772	"Indonesia"	"Homo sapiens"	2016-11-24
"OK655884.1"	"CHIKV/IDN_Jambi_101/2016"	"Chikungunya virus isolate CHIKV/IDN_Jambi_101/2016, partial genome"	11849	"Indonesia"	"Homo sapiens"	2016-11-21
"MW473668.1"		"Chikungunya virus strain 181/25, complete genome"	11992	"USA"		2018-02-02
"MZ443813.1"	"BKK15501"	"Chikungunya virus isolate BKK15501, complete genome"	11772	"Thailand"	"Aedes aegypti"	2018-08-01
"MZ443814.1"	"BKK15507"	"Chikungunya virus isolate BKK15507, complete genome"	11772	"Thailand"	"Aedes aegypti"	2018-08-01
"MZ443815.1"	"BKK15511"	"Chikungunya virus isolate BKK15511, complete genome"	11772	"Thailand"	"Aedes aegypti"	2018-08-01
"MZ443816.1"	"BKK15514"	"Chikungunya virus isolate BKK15514, complete genome"	11772	"Thailand"	"Aedes aegypti"	2018-08-01
"MW291576.1"	"YNRL3 2019"	"Chikungunya virus isolate YNRL3 2019, complete genome"	11812	"China"	"Homo sapiens"	2019-04-10
"MT668625.1"	"TJ/2019/CHIKV"	"Chikungunya virus isolate TJ/2019/CHIKV, complete genome"	11727	"China"	"Homo sapiens"	2019-04-11
"MH636708.1"		"UNVERIFIED: Chikungunya virus strain SGEHI37262Y10 genomic sequence, sequence"	11713	"Singapore"	"Homo sapiens"	2010-01-01
"MW656171.1"	"Gi_COL7624"	"Chikungunya virus isolate Gi_COL7624, complete genome"	12027	"Colombia"	"Homo sapiens"	2015-02-01
"MW161364.1"		"Chikungunya virus strain CHIKV/Sudan103/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11045	"Sudan"	"Homo sapiens"	2018-10-01
"MW161366.1"		"Chikungunya virus strain CHIKV/Sudan110/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161371.1"		"Chikungunya virus strain CHIKV/Sudan118/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11084	"Sudan"	"Homo sapiens"	2018-10-01
"MW161372.1"		"Chikungunya virus strain CHIKV/Sudan122/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161373.1"		"Chikungunya virus strain CHIKV/Sudan124/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161375.1"		"Chikungunya virus strain CHIKV/Sudan126/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161376.1"		"Chikungunya virus strain CHIKV/Sudan127/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10741	"Sudan"	"Homo sapiens"	2018-10-01
"MW161377.1"		"Chikungunya virus strain CHIKV/Sudan128/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10618	"Sudan"	"Homo sapiens"	2018-10-01
"MW161380.1"		"Chikungunya virus strain CHIKV/Sudan141/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161382.1"		"Chikungunya virus strain CHIKV/Sudan150/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161383.1"		"Chikungunya virus strain CHIKV/Sudan151/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161384.1"		"Chikungunya virus strain CHIKV/Sudan152/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161385.1"		"Chikungunya virus strain CHIKV/Sudan153/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161387.1"		"Chikungunya virus strain CHIKV/Sudan157/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161388.1"		"Chikungunya virus strain CHIKV/Sudan160/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161389.1"		"Chikungunya virus strain CHIKV/Sudan161/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161392.1"		"Chikungunya virus strain CHIKV/Sudan167/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161398.1"		"Chikungunya virus strain CHIKV/Sudan176/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10780	"Sudan"	"Homo sapiens"	2018-10-01
"MW161399.1"		"Chikungunya virus strain CHIKV/Sudan177/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11087	"Sudan"	"Homo sapiens"	2018-10-01
"MW161400.1"		"Chikungunya virus strain CHIKV/Sudan179/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11096	"Sudan"	"Homo sapiens"	2018-10-01
"MW161401.1"		"Chikungunya virus strain CHIKV/Sudan181/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161403.1"		"Chikungunya virus strain CHIKV/Sudan186/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161408.1"		"Chikungunya virus strain CHIKV/Sudan308/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11024	"Sudan"	"Homo sapiens"	2018-10-01
"MW161409.1"		"Chikungunya virus strain CHIKV/Sudan311/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10533	"Sudan"	"Homo sapiens"	2018-10-01
"MW161412.1"		"Chikungunya virus strain CHIKV/Sudan320/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11073	"Sudan"	"Homo sapiens"	2018-10-01
"MW161416.1"		"Chikungunya virus strain CHIKV/Sudan325/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10978	"Sudan"	"Homo sapiens"	2018-10-01
"MW161418.1"		"Chikungunya virus strain CHIKV/Sudan334/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161419.1"		"Chikungunya virus strain CHIKV/Sudan335/2018 non-structural polyprotein and structural polyprotein genes, complete cds"	11237	"Sudan"	"Homo sapiens"	2018-10-01
"MW161420.1"		"Chikungunya virus strain CHIKV/Sudan338/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10895	"Sudan"	"Homo sapiens"	2018-10-01
"MW161422.1"		"Chikungunya virus strain CHIKV/Sudan129/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10660	"Sudan"	"Homo sapiens"	2018-10-01
"MW161431.1"		"Chikungunya virus strain CHIKV/Sudan159/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11229	"Sudan"	"Homo sapiens"	2018-10-01
"MW161436.1"		"Chikungunya virus strain CHIKV/Sudan180/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10984	"Sudan"	"Homo sapiens"	2018-10-01
"MW161437.1"		"Chikungunya virus strain CHIKV/Sudan182/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11083	"Sudan"	"Homo sapiens"	2018-10-01
"MW161438.1"		"Chikungunya virus strain CHIKV/Sudan183/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10696	"Sudan"	"Homo sapiens"	2018-10-01
"MW161442.1"		"Chikungunya virus strain CHIKV/Sudan199/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10922	"Sudan"	"Homo sapiens"	2018-10-01
"MW161443.1"		"Chikungunya virus strain CHIKV/Sudan309/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10783	"Sudan"	"Homo sapiens"	2018-10-01
"MW161446.1"		"Chikungunya virus strain CHIKV/Sudan315/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10669	"Sudan"	"Homo sapiens"	2018-10-01
"MW161447.1"		"Chikungunya virus strain CHIKV/Sudan316/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11026	"Sudan"	"Homo sapiens"	2018-10-01
"MW161448.1"		"Chikungunya virus strain CHIKV/Sudan318/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11086	"Sudan"	"Homo sapiens"	2018-10-01
"MW161449.1"		"Chikungunya virus strain CHIKV/Sudan319/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11023	"Sudan"	"Homo sapiens"	2018-10-01
"MW161450.1"		"Chikungunya virus strain CHIKV/Sudan322/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	11008	"Sudan"	"Homo sapiens"	2018-10-01
"MW161451.1"		"Chikungunya virus strain CHIKV/Sudan324/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10909	"Sudan"	"Homo sapiens"	2018-10-01
"MW161452.1"		"Chikungunya virus strain CHIKV/Sudan326/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10859	"Sudan"	"Homo sapiens"	2018-10-01
"MW161453.1"		"Chikungunya virus strain CHIKV/Sudan327/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10924	"Sudan"	"Homo sapiens"	2018-10-01
"MW161454.1"		"Chikungunya virus strain CHIKV/Sudan328/2018 non-structural polyprotein and structural polyprotein genes, partial cds"	10895	"Sudan"	"Homo sapiens"	2018-10-01
"MW574902.1"	"IRSHA 1474"	"Chikungunya virus isolate IRSHA 1474, complete genome"	11811	"India"	"Homo sapiens"	2016-01-01
"MW110472.1"	"19RL05(2019)"	"Chikungunya virus isolate 19RL05(2019), complete genome"	11789	"China"	"Homo sapiens"	2019-09-28
"MW110473.1"	"19RL33(2019)"	"Chikungunya virus isolate 19RL33(2019), complete genome"	11789	"China"	"Homo sapiens"	2019-06-10
"MW110474.1"	"19RL34(2019)"	"Chikungunya virus isolate 19RL34(2019), complete genome"	11789	"China"	"Homo sapiens"	2019-06-10
"MW110475.1"	"19RL45(2019)"	"Chikungunya virus isolate 19RL45(2019), complete genome"	11789	"China"	"Homo sapiens"	2019-08-10
"MW110476.1"	"19RL50(2019)"	"Chikungunya virus isolate 19RL50(2019), complete genome"	11789	"China"	"Homo sapiens"	2019-12-10
"MW110477.1"	"19RL51(2019)"	"Chikungunya virus isolate 19RL51(2019), complete genome"	11789	"China"	"Homo sapiens"	2019-12-10
"MN954552.1"	"19-6904-1"	"Chikungunya virus isolate 19-6904-1 nonstructural polyprotein and structural polyprotein genes, complete cds"	11408	"India"	"Culicidae"	2019-01-01
"MW260517.1"		"Chikungunya virus strain NA06 nonstructural polyprotein, nonstructural polyprotein, nsP4 protein region, and structural polyprotein genes, partial cds"	10998	"Brazil"	"Homo sapiens"	2019-03-29
"MT666071.1"		"Chikungunya virus strain CAM/2018/Yaounde, complete genome"	11561	"Cameroon"	"Homo sapiens"	2018-09-17
"MT666072.1"		"Chikungunya virus strain CAM/2016/Yaounde, complete genome"	11562	"Cameroon"	"Homo sapiens"	2016-10-20
"MT666073.1"		"Chikungunya virus strain CAM/2018/Mfuo, complete genome"	11562	"Cameroon"	"Homo sapiens"	2018-06-28
"MT495605.1"	"BK1049"	"Chikungunya virus isolate BK1049, complete genome"	11662	"Thailand"	"Homo sapiens"	2019-04-14
"MT495606.1"	"BK1156"	"Chikungunya virus isolate BK1156, complete genome"	11712	"Thailand"	"Homo sapiens"	2019-12-08
"MT495607.1"	"BK1278"	"Chikungunya virus isolate BK1278, complete genome"	11657	"Thailand"	"Homo sapiens"	2019-08-28
"MT495608.1"	"BK1764"	"Chikungunya virus isolate BK1764, complete genome"	11662	"Thailand"	"Homo sapiens"	2019-06-11
"MT640255.1"	"BK2714"	"Chikungunya virus isolate BK2714, complete genome"	11644	"Thailand"	"Homo sapiens"	2020-01-17
"MT640256.1"	"BK2821"	"Chikungunya virus isolate BK2821, complete genome"	11442	"Thailand"	"Homo sapiens"	2020-05-02
"MW321606.1"	1572	"Chikungunya virus isolate 1572, complete genome"	11805	"India"	"Homo sapiens"	2016-01-01
"MT038393.1"		"Chikungunya virus strain PY02 nonstructural polyprotein and structural polyprotein genes, partial cds"	11149	"Paraguay"	"Homo sapiens"	2016-01-20
"MT038394.1"		"Chikungunya virus strain PY07 nonstructural polyprotein and structural polyprotein genes, partial cds"	11149	"Paraguay"	"Homo sapiens"	2016-02-19
"MT038395.1"		"Chikungunya virus strain PY06 nonstructural polyprotein and structural polyprotein genes, partial cds"	11149	"Paraguay"	"Homo sapiens"	2016-02-16
"MT038396.1"		"Chikungunya virus strain PY08 nonstructural polyprotein and structural polyprotein genes, partial cds"	11149	"Paraguay"	"Homo sapiens"	2016-02-22
"MT038397.1"		"Chikungunya virus strain PY03 nonstructural polyprotein and structural polyprotein genes, partial cds"	11149	"Paraguay"	"Homo sapiens"	2016-01-21
"MT038398.1"		"Chikungunya virus strain PY09 nonstructural polyprotein and structural polyprotein genes, partial cds"	11149	"Paraguay"	"Homo sapiens"	2016-03-21
"MT038405.1"		"Chikungunya virus strain PY45 nonstructural polyprotein and structural polyprotein genes, partial cds"	10713	"Paraguay"	"Homo sapiens"	2014-03-11
"MT038407.1"		"Chikungunya virus strain PY48 nonstructural polyprotein and structural polyprotein genes, partial cds"	10708	"Paraguay"	"Homo sapiens"	2015-04-28
"MT038408.1"		"Chikungunya virus strain PY49 nonstructural polyprotein and structural polyprotein genes, partial cds"	10713	"Paraguay"	"Homo sapiens"	2015-03-05
"MT038409.1"		"Chikungunya virus strain PY50 nonstructural polyprotein and structural polyprotein genes, partial cds"	10708	"Paraguay"	"Homo sapiens"	2015-06-05
"MW042254.1"	2014	"Chikungunya virus isolate 2014, complete genome"	11754	"India"	"Homo sapiens"	2014-10-01
"MW042255.1"	2019	"Chikungunya virus isolate 2019, complete genome"	11826	"India"	"Homo sapiens"	2019-06-01
"MT123008.1"	"QZ0901-1"	"Chikungunya virus isolate QZ0901-1, complete genome"	11787	"China"	"Homo sapiens"	2017-01-09
"MT123009.1"	"QZ0901-2"	"Chikungunya virus isolate QZ0901-2, complete genome"	11787	"China"	"Homo sapiens"	2017-01-09
"MT123010.1"	"QZ0901-3"	"Chikungunya virus isolate QZ0901-3, complete genome"	11787	"China"	"Homo sapiens"	2017-01-09
"MT526900.1"	"BeAr843521"	"Chikungunya virus isolate BeAr843521, complete genome"	11828	"Brazil"	"Aedes aegypti"	2017-01-24
"MT526901.1"	"BeAr843523"	"Chikungunya virus isolate BeAr843523, complete genome"	11790	"Brazil"	"Aedes aegypti"	2017-01-25
"MT526902.1"	"BeAr843528"	"Chikungunya virus isolate BeAr843528, complete genome"	11821	"Brazil"	"Culex quinquefasciatus"	2017-01-25
"MT526903.1"	"BeAr843529"	"Chikungunya virus isolate BeAr843529, complete genome"	11506	"Brazil"	"Culex quinquefasciatus"	2017-01-26
"MT526904.1"	"BeAr843544"	"Chikungunya virus isolate BeAr843544, complete genome"	11826	"Brazil"	"Aedes aegypti"	2017-01-26
